rank,Hospital,patient_count,total_billing,avg_billing
170,Harris Llc,7,237414.91,33916.42
171,Thomas And Sons,10,237199.15,23719.92
172,Group Clark,10,236966.15,23696.62
173,Ltd Scott,7,236823.4,33831.91
174,Ltd Taylor,8,236728.08,29591.01
175,Group Lewis,10,235891.02,23589.1
176,Llc Harris,7,234396.93,33485.28
177,Taylor Plc,8,233178.15,29147.27
178,Rodriguez Plc,12,233104.15,19425.35
179,Phillips Llc,9,232667.33,25851.93
180,Gonzalez Ltd,8,232572.24,29071.53
181,Ltd Carter,6,232442.86,38740.48
182,Lee Llc,9,231962.79,25773.64
183,Martinez Ltd,10,231347.55,23134.75
184,Anderson Llc,12,231288.55,19274.05
185,Sons Johnson And,7,231024.61,33003.52
186,Harris Plc,8,230206.21,28775.78
187,Ltd Nelson,9,229846.43,25538.49
188,Sanchez Inc,8,228994.43,28624.3
189,Ltd Myers,7,228611.23,32658.75
190,Gonzalez Group,8,227418.8,28427.35
191,Shaw Llc,6,226385.62,37730.94
192,Ltd Thomas,9,225830.97,25092.33
193,Robinson Inc,12,225225.05,18768.75
194,Inc Martin,8,223362.55,27920.32
195,Hill Inc,13,222458.43,17112.19
196,Cook Group,8,220785.62,27598.2
197,Llc Martinez,10,220571.05,22057.11
198,Ltd Lopez,8,219490.82,27436.35
199,Adams Group,8,219432.93,27429.12
200,Hall Group,7,217367.63,31052.52
201,Plc Cook,8,216155.77,27019.47
202,Simmons Llc,7,215697.61,30813.94
203,Llc Lee,7,214500.67,30642.95
204,Sons Miller And,8,213331.8,26666.48
205,Group Wilson,6,213030.16,35505.03
206,Inc Clark,7,213001.73,30428.82
207,Johnson-Williams,6,212275.66,35379.28
208,Davis Ltd,11,212115.89,19283.26
209,Lopez Llc,9,211914.75,23546.08
210,Murphy Llc,7,211886.23,30269.46
211,Plc Garcia,9,211674.25,23519.36
212,Alvarez Ltd,6,211313.54,35218.92
213,Clark Llc,9,210220.61,23357.85
214,Inc Perez,9,209925.7,23325.08
215,White Ltd,7,209805.07,29972.15
216,Llc Martin,9,209101.76,23233.53
217,Plc Perez,7,208384.36,29769.19
218,Llc King,9,208028.68,23114.3
219,Garcia Llc,9,207776.19,23086.24
220,Llc Anderson,9,206898.58,22988.73
221,Plc Ross,6,206380.85,34396.81
222,Carter Inc,10,205367.66,20536.77
223,Hall Llc,8,205194.25,25649.28
224,Group Stewart,7,204263.95,29180.56
225,Walker Group,7,203905.24,29129.32
226,Lopez Inc,9,200488.11,22276.46
227,Inc White,7,199245.08,28463.58
228,Group Lopez,10,199182.04,19918.2
229,Ltd West,6,199027.14,33171.19
230,Ltd Phillips,7,198845.33,28406.48
231,Plc White,8,198814.2,24851.78
232,Gonzalez Inc,9,198292.46,22032.5
233,Jackson Plc,8,198267.54,24783.44
234,Phillips Ltd,9,198249.66,22027.74
235,Inc Walker,6,197968.34,32994.72
236,Martin Ltd,9,197594.38,21954.93
237,Inc Carter,7,197573.92,28224.85
238,Martin Llc,9,197443.1,21938.12
239,Ltd Campbell,6,197233.42,32872.24
240,Plc Wilson,6,196967.43,32827.9
241,Murphy Inc,9,196657.84,21850.87
242,Evans Group,6,196176.95,32696.16
243,And Jones Sons,8,195995.69,24499.46
244,Inc Thomas,9,195620.37,21735.6
245,Inc Lee,12,195012.35,16251.03
246,Graham Ltd,6,195002.06,32500.34
247,Parker Llc,5,194710.19,38942.04
248,Llc Perez,7,194460.49,27780.07
249,Ltd Reed,6,194389.1,32398.18
250,Inc Wright,10,194332.35,19433.24
251,Gibson Llc,8,194209.92,24276.24
252,Wallace Llc,8,193880.79,24235.1
253,Gonzalez Llc,9,193874.68,21541.63
254,Group Gonzalez,9,193751.22,21527.91
255,Group Thompson,9,193750.7,21527.86
256,White Group,10,193545.95,19354.6
257,Ltd Harris,9,193336.44,21481.83
258,Plc Scott,7,192969.48,27567.07
259,Plc Roberts,7,192925.97,27560.85
260,Hall Plc,8,192924.05,24115.51
261,Plc Gonzalez,6,192467.92,32077.99
262,Coleman Group,6,192355.87,32059.31
263,Campbell Llc,9,192280.82,21364.54
264,Llc Allen,7,192124.57,27446.37
265,Mitchell Inc,9,191668.64,21296.52
266,Wright Group,7,191590.04,27370.01
267,White Llc,7,191490.85,27355.84
268,Murray Ltd,5,190909.92,38181.98
269,Walker Ltd,7,190853.03,27264.72
270,Group Wright,7,190591.43,27227.35
271,Group Barnes,6,190348.35,31724.72
272,Hansen Plc,5,190249.58,38049.92
273,Llc White,9,190087.85,21120.87
274,Griffin Group,6,189529.11,31588.18
275,Plc Wright,8,188516.02,23564.5
276,Llc Lewis,6,188433.73,31405.62
277,Davis Llc,8,187929.62,23491.2
278,Perez Group,8,187458.34,23432.29
279,Sons Jones And,6,186493.27,31082.21
280,Allen Ltd,7,186204.58,26600.65
281,Long Llc,6,186200.48,31033.41
282,Allen Plc,8,185853.44,23231.68
283,Nguyen Plc,7,185286.15,26469.45
284,Plc Nelson,4,185102.39,46275.6
285,Group Scott,7,184902.34,26414.62
286,Robinson Llc,7,184814.71,26402.1
287,Smith-Wilson,7,184485.25,26355.04
288,Inc Price,6,184326.09,30721.02
289,Plc Lopez,10,184264.33,18426.43
290,Ward Plc,6,183873.12,30645.52
291,Williams Sons And,7,183780.01,26254.29
292,Ltd Allen,6,183612.87,30602.14
293,Johnson-Smith,8,183259.44,22907.43
294,Inc Harper,6,183161.55,30526.92
295,Hill Group,7,183066.65,26152.38
296,Ltd Hall,8,183020.25,22877.53
297,Ltd Porter,7,182852.47,26121.78
298,Thomas Ltd,6,182695.97,30449.33
299,Flores Llc,4,182468.41,45617.1
300,Pearson Plc,4,182099.68,45524.92
301,Llc Baker,6,181528.04,30254.67
302,Jackson Ltd,7,181229.8,25889.97
303,Ltd Turner,6,181204.65,30200.78
304,Llc Howard,7,180940.95,25848.71
305,Group Martin,7,180858.45,25836.92
306,Group Green,7,180054.63,25722.09
307,Jackson Group,8,179887.93,22485.99
308,Inc Phillips,6,179392.54,29898.76
309,Group Ward,4,179011.98,44753.0
310,Rivera Plc,5,179005.9,35801.18
311,Gonzalez Sons And,6,178862.58,29810.43
312,Plc Taylor,7,178750.04,25535.72
313,King Inc,7,178065.17,25437.88
314,Sons Cox And,5,177723.83,35544.77
315,Lee Sons And,6,177657.84,29609.64
316,Wilson Inc,9,177514.06,19723.78
317,Garcia Ltd,7,177133.2,25304.74
318,Clark Ltd,7,177055.97,25293.71
319,Sanders Inc,5,175893.27,35178.65
320,Ltd Ramirez,7,175747.27,25106.75
321,Inc Evans,7,175642.03,25091.72
322,Inc Martinez,9,174916.59,19435.18
323,Group Simpson,6,174394.48,29065.75
324,Cook Inc,5,173911.46,34782.29
325,Ltd Moore,9,173747.46,19305.27
326,Llc Thompson,8,173720.8,21715.1
327,Group Young,6,173036.4,28839.4
328,Clark Inc,8,172959.2,21619.9
329,Ltd Perez,7,172930.32,24704.33
330,White Plc,5,172921.44,34584.29
331,Plc Harrison,5,172749.85,34549.97
332,Llc Roberts,5,172459.32,34491.86
333,Llc Bennett,5,172309.93,34461.99
334,Dunn Plc,5,172188.82,34437.76
335,Ltd Murphy,5,171759.04,34351.81
336,Smith-Smith,7,170218.8,24316.97
337,Ltd Alexander,4,170059.52,42514.88
338,Evans Ltd,6,169969.09,28328.18
339,Cruz Inc,5,169382.66,33876.53
340,Plc Young,5,169200.15,33840.03
341,Martinez Llc,5,168871.17,33774.23
342,Thompson Sons And,7,168853.3,24121.9
343,Llc Reyes,6,168783.96,28130.66
344,Cook Ltd,7,168552.94,24078.99
345,James Ltd,9,168247.45,18694.16
346,Miller-Smith,6,167685.77,27947.63
347,Wright Plc,6,167634.91,27939.15
348,Plc Wells,5,167480.82,33496.16
349,Adams Llc,7,167398.47,23914.07
350,Plc Carter,7,167249.3,23892.76
351,Plc Flores,4,166846.02,41711.5
352,Lee Ltd,7,166726.63,23818.09
353,Lee Group,7,166635.12,23805.02
354,Shaw Sons And,4,166299.65,41574.91
355,Patel Llc,6,166225.66,27704.28
356,Group Walker,8,165874.76,20734.34
357,Llc Bell,5,165574.32,33114.86
358,Garza Group,5,165552.33,33110.47
359,Wallace Ltd,4,165173.21,41293.3
360,Llc Ward,6,165066.2,27511.03
361,Ltd Peterson,7,164976.46,23568.07
362,Plc Bell,6,164936.06,27489.34
363,Bennett Plc,5,164656.08,32931.22
364,Inc Morales,7,164598.06,23514.01
365,Reynolds And Sons,5,164346.21,32869.24
366,Group Grant,4,164056.06,41014.02
367,Plc Morales,7,163858.78,23408.4
368,Diaz Inc,6,163738.97,27289.83
369,Phillips Inc,5,163262.13,32652.43
370,Llc Freeman,6,163105.06,27184.18
371,Llc Gonzalez,6,162986.56,27164.43
372,And Sons Lee,6,162874.59,27145.76
373,Sons Smith And,10,162760.48,16276.05
374,Thomas Group,5,162137.84,32427.57
375,Inc Butler,6,162107.81,27017.97
376,Plc Martin,7,162054.54,23150.65
377,Martinez Group,5,162000.13,32400.03
378,Inc Morgan,5,161948.58,32389.72
379,Edwards Plc,6,161924.96,26987.49
380,Group Harris,7,161893.87,23127.7
381,Griffin Plc,7,161630.54,23090.08
382,Harris Inc,7,161596.58,23085.23
383,Anderson And Sons,7,161590.04,23084.29
384,Ltd White,6,160550.96,26758.49
385,Plc Moore,6,160514.51,26752.42
386,Taylor Inc,9,160039.46,17782.16
387,Sons Martin And,5,159598.49,31919.7
388,Group Alexander,5,159408.71,31881.74
389,Ltd Gibson,5,159247.5,31849.5
390,Inc Powell,5,159044.27,31808.85
391,Ramirez Inc,5,159018.7,31803.74
392,Sons Thomas And,6,158909.6,26484.93
393,Plc Allen,7,158833.13,22690.45
394,Gonzales Group,4,158754.35,39688.59
395,Inc Adams,6,158644.87,26440.81
396,Inc Torres,4,158607.97,39651.99
397,Smith-Williams,5,158481.04,31696.21
398,Valdez Llc,4,158432.45,39608.11
399,Llc Jackson,7,158228.49,22604.07
400,Scott Inc,5,158032.35,31606.47
401,Robinson Group,8,158019.99,19752.5
402,Llc Evans,6,157746.16,26291.03
403,Young Group,5,157686.62,31537.32
404,Alvarado Llc,5,156719.43,31343.89
405,Allen Inc,6,156543.08,26090.51
406,Inc Wilson,8,156449.67,19556.21
407,Nelson Plc,7,155388.2,22198.31
408,Rodriguez And Sons,7,155050.23,22150.03
409,Llc Palmer,4,154973.87,38743.47
410,Green Inc,7,154678.25,22096.89
411,Inc Campbell,5,154389.26,30877.85
412,Baker Sons And,5,154270.76,30854.15
413,Williams-Jones,5,154071.4,30814.28
414,Snyder Plc,5,153737.34,30747.47
415,And Sons Johnson,7,153686.32,21955.19
416,Martinez Plc,7,153630.46,21947.21
417,And Smith Sons,7,153179.53,21882.79
418,Llc Hall,6,153035.76,25505.96
419,Hernandez Inc,6,152837.88,25472.98
420,Group Moore,4,152759.7,38189.93
421,And Jackson Sons,4,152619.82,38154.96
422,Morgan Ltd,5,152444.57,30488.91
423,Mitchell Ltd,6,152151.99,25358.67
424,Perry Group,6,151620.55,25270.09
425,Roberts Ltd,7,151494.63,21642.09
426,Brown-Williams,5,151143.57,30228.71
427,Lewis Inc,6,151122.56,25187.09
428,Cruz Plc,5,150903.99,30180.8
429,And Martinez Sons,7,150474.46,21496.35
430,Rodriguez Llc,7,150096.63,21442.38
431,Jones-Rodriguez,5,149953.32,29990.66
432,Inc King,6,149784.17,24964.03
433,Inc Roberts,7,149775.66,21396.52
434,Wood Group,6,149759.86,24959.98
435,Navarro Llc,4,148958.67,37239.67
436,Inc Cruz,6,148510.64,24751.77
437,Group Nelson,9,147801.17,16422.35
438,Plc Reyes,6,147656.26,24609.38
439,Lewis Group,6,147397.41,24566.24
440,Ltd Rivera,6,147358.92,24559.82
441,Inc Williamson,4,147228.56,36807.14
442,Ramirez Plc,6,147122.07,24520.34
443,Plc Cruz,7,147046.45,21006.64
444,Hill Plc,7,147045.35,21006.48
445,Hall-Taylor,4,146908.04,36727.01
446,Little Ltd,4,146693.2,36673.3
447,Smith-Davis,6,146583.86,24430.64
448,Miller-Anderson,4,146474.44,36618.61
449,Ltd Jimenez,5,146336.82,29267.36
450,Kim Inc,6,146137.17,24356.19
451,Plc Harper,5,146106.1,29221.22
452,Group Patterson,3,145554.45,48518.15
453,Gomez Inc,6,145529.95,24254.99
454,Group Taylor,6,145448.72,24241.45
455,Inc Ferguson,4,145431.67,36357.92
456,Moore Group,8,145398.54,18174.82
457,Wright Llc,6,145131.07,24188.51
458,Llc Coleman,4,145017.99,36254.5
459,Llc Griffin,4,144978.46,36244.62
460,Lopez Ltd,7,144970.21,20710.03
461,Simmons Group,4,144931.68,36232.92
462,Thompson Llc,5,144909.46,28981.89
463,Inc Gonzales,5,144795.34,28959.07
464,Wright Ltd,4,144643.32,36160.83
465,Ltd Stevens,5,144432.43,28886.49
466,Llc Stewart,5,144384.51,28876.9
467,Baker Ltd,5,144317.96,28863.59
468,Moreno Llc,5,144238.12,28847.62
469,Group Fisher,6,143989.04,23998.17
470,Ltd Rodriguez,5,143869.35,28773.87
471,Morales Group,6,143811.94,23968.66
472,Group Peterson,5,143379.61,28675.92
473,Ltd Baker,6,143354.65,23892.44
474,Murray Plc,6,143214.1,23869.02
475,Inc Weber,3,143178.41,47726.14
476,Green Llc,6,142899.27,23816.54
477,Johnson-Taylor,5,142890.37,28578.07
478,King Group,4,142788.29,35697.07
479,Group Edwards,5,142763.56,28552.71
480,Group Burns,4,142367.36,35591.84
481,Richardson Ltd,4,141609.89,35402.47
482,Plc Bailey,4,141342.44,35335.61
483,Walker And Sons,5,141255.9,28251.18
484,Plc Parker,4,141114.48,35278.62
485,Llc Reed,4,140953.94,35238.48
486,Sons Davis And,5,140916.75,28183.35
487,Llc Turner,5,140847.38,28169.48
488,Peterson Llc,3,140795.62,46931.87
489,Llc Brooks,5,140769.52,28153.9
490,Sons Wilson And,5,140719.56,28143.91
491,Llc Edwards,5,140680.5,28136.1
492,Collins Inc,4,140600.92,35150.23
493,Anderson Ltd,7,140469.52,20067.07
494,Baker Plc,6,140227.15,23371.19
495,Smith And Sons,8,139943.97,17493.0
496,Young Ltd,8,139927.45,17490.93
497,Inc Murphy,5,139758.88,27951.78
498,Cole Llc,4,139719.69,34929.92
499,Ltd Austin,4,139480.26,34870.06
500,Group Sullivan,5,139371.5,27874.3
501,Ltd Cruz,4,139230.41,34807.6
502,Llc Andrews,4,139186.67,34796.67
503,Wells Group,4,138880.36,34720.09
504,Inc Allen,5,138636.97,27727.39
505,Ltd Wallace,4,137939.12,34484.78
506,Inc Freeman,5,137635.16,27527.03
507,Hayes Inc,6,137323.5,22887.25
508,Sons And Taylor,6,137198.63,22866.44
509,Bryant Group,4,136992.34,34248.08
510,Kelley Plc,3,136865.75,45621.92
511,Henry Inc,5,136453.04,27290.61
512,Plc Morris,6,136441.52,22740.25
513,Hernandez And Sons,4,136088.26,34022.06
514,Hernandez-Miller,4,136080.98,34020.25
515,Roberts Inc,5,136019.58,27203.92
516,Wagner Llc,3,135973.12,45324.37
517,Rodriguez Sons And,4,135834.89,33958.72
518,Group Webb,3,135531.72,45177.24
519,Wright Inc,5,135169.93,27033.99
520,Young Inc,6,135158.2,22526.37
521,Ltd Young,4,135139.89,33784.97
522,Franklin Group,4,135119.34,33779.84
523,Perez And Sons,5,134785.14,26957.03
524,Llc Adams,4,134751.98,33687.99
525,Ward Inc,5,134635.27,26927.05
526,Ltd Estrada,5,134607.59,26921.52
527,Scott Plc,5,134598.62,26919.72
528,Stewart Group,5,134572.02,26914.4
529,Shelton Inc,3,134333.26,44777.75
530,And Sons Long,5,134252.13,26850.43
531,Diaz Group,4,134234.37,33558.59
532,Plc Russell,4,134085.66,33521.42
533,And Johnson Sons,6,133931.38,22321.9
534,Diaz Plc,4,133804.64,33451.16
535,Group White,5,133646.0,26729.2
536,Llc Green,4,133517.48,33379.37
537,Knight Plc,4,133396.14,33349.03
538,And Harris Sons,3,133354.13,44451.38
539,Peterson Ltd,4,133268.08,33317.02
540,Ortiz Group,4,133163.52,33290.88
541,Plc Mason,5,132777.95,26555.59
542,Rios Group,3,132693.39,44231.13
543,Wilson And Sons,5,132622.69,26524.54
544,Mitchell Plc,5,132420.07,26484.01
545,Davidson Plc,4,132137.34,33034.34
546,Parker Group,5,132009.89,26401.98
547,Stone Inc,5,131656.42,26331.28
548,Bailey Inc,6,131584.65,21930.78
549,Ellis Group,4,131578.18,32894.54
550,Dawson Inc,4,131564.96,32891.24
551,Johnson-Gonzalez,3,131089.18,43696.39
552,Collins Ltd,3,131079.64,43693.21
553,Group Mitchell,4,131057.45,32764.36
554,Ltd Olson,4,131054.36,32763.59
555,Mitchell Group,4,131020.64,32755.16
556,Foster Ltd,4,130960.16,32740.04
557,Group Allen,6,130346.25,21724.38
558,Llc Mitchell,5,130117.53,26023.51
559,Sanchez Llc,5,129634.08,25926.82
560,Williams-Hayes,3,129527.78,43175.93
561,Sons And Hernandez,4,129491.11,32372.78
562,And Gonzalez Sons,4,129405.94,32351.48
563,Brown-Smith,5,129277.47,25855.49
564,Group Stokes,3,129071.25,43023.75
565,Group Mason,3,129037.79,43012.6
566,Llc Gutierrez,4,128971.69,32242.92
567,Group Montgomery,4,128796.96,32199.24
568,Plc Morgan,3,128373.32,42791.11
569,Foster Inc,4,128321.82,32080.46
570,Plc Garza,4,128205.93,32051.48
571,Ltd Vargas,4,127982.49,31995.62
572,Kelly Ltd,3,127829.11,42609.7
573,Brooks Ltd,4,127606.37,31901.59
574,Vasquez Llc,3,127509.83,42503.28
575,Chapman Group,3,127210.47,42403.49
576,Walters Plc,4,127045.99,31761.5
577,Group Jacobs,4,126957.85,31739.46
578,Harris Ltd,4,126733.85,31683.46
579,Sons And Lopez,5,126673.82,25334.76
580,Mcdonald Llc,3,126545.98,42181.99
581,Sons Lee And,5,126529.56,25305.91
582,Ltd Delgado,4,126519.8,31629.95
583,Taylor Group,5,126290.83,25258.17
584,Clark Group,5,126211.66,25242.33
585,Group Lynch,4,126205.37,31551.34
586,Miller And Sons,4,126067.94,31516.98
587,Group Butler,4,126051.14,31512.78
588,And Gray Sons,3,126045.72,42015.24
589,Group Yates,4,126038.39,31509.6
590,Plc Peterson,5,125649.39,25129.88
591,Lee-Miller,4,125522.97,31380.74
592,Ltd Gonzalez,4,125510.34,31377.58
593,Harvey Plc,5,125348.65,25069.73
594,Plc Hernandez,5,125336.17,25067.23
595,Inc Peterson,4,125330.74,31332.68
596,Plc Fisher,6,125297.65,20882.94
597,Edwards Llc,4,125112.28,31278.07
598,Stewart Plc,6,125046.45,20841.08
599,Plc Adams,7,124913.52,17844.79
600,Butler Llc,4,124903.33,31225.83
601,Group Phillips,4,124805.23,31201.31
602,Inc Perkins,3,124674.26,41558.09
603,Group Armstrong,4,124645.03,31161.26
604,Ltd Gray,4,124642.02,31160.5
605,Plc Martinez,6,124589.25,20764.88
606,Inc Ramirez,4,124552.63,31138.16
607,Chen Plc,4,124541.48,31135.37
608,Ltd Robinson,4,124483.29,31120.82
609,Peterson Inc,3,124396.66,41465.55
610,Torres Plc,4,124382.85,31095.71
611,Elliott Llc,4,124375.53,31093.88
612,Plc Walker,5,124174.01,24834.8
613,Sons And Miller,6,124101.6,20683.6
614,Inc Meyer,5,124076.6,24815.32
615,Inc Lewis,4,123903.41,30975.85
616,Group Kelley,4,123700.26,30925.06
617,Carter Ltd,6,123655.79,20609.3
618,Ltd Long,4,123594.97,30898.74
619,Russell Plc,4,123312.45,30828.11
620,Cole Ltd,5,123311.57,24662.31
621,Inc Tyler,3,122872.29,40957.43
622,Meyer Group,5,122707.85,24541.57
623,Thompson Group,8,122700.07,15337.51
624,Coleman Inc,3,122693.95,40897.98
625,Group Davidson,5,122540.88,24508.18
626,Gibson Ltd,5,122494.93,24498.99
627,Llc Stone,5,122310.48,24462.1
628,Inc Cox,5,122298.89,24459.78
629,Ltd Griffith,3,122248.34,40749.45
630,Group Cross,5,122104.72,24420.94
631,Plc Perry,3,121965.59,40655.2
632,Ltd Kelley,5,121953.78,24390.76
633,Ltd Owens,3,121845.04,40615.01
634,Lee Inc,7,121363.26,17337.61
635,Perry Inc,5,121318.85,24263.77
636,Wood Inc,5,121316.54,24263.31
637,Arnold Inc,3,121278.82,40426.27
638,Group Bennett,6,121160.53,20193.42
639,Group Ortega,4,121088.06,30272.02
640,Inc Wood,5,121005.44,24201.09
641,Plc King,3,120972.11,40324.04
642,Llc Hill,6,120970.56,20161.76
643,Ltd Patterson,3,120857.73,40285.91
